base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re
1.0,"90,60,30, 15",71.0,False,const71,,1.5,0.3,jacobian,0.1,,2.5278468002747974,20.424155187622173
2.8451481033005384,"45,30,15",20.0,False,const20,,1.7532316795178833,0.1333476023468294,jacobian,0.07035684461957056,,2.3384911194999685,20.270333709660946
2.4772068683142083,"45,30,15",40.93328581559948,True,map,15.9,1.282170030725991,1.1831104359746956,jacobian,0.2739629444941568,15.0,1.4808283199426815,10.679304646160285
1.538025623741875,"45,30,15",40.93328581559948,True,map,15.9,0.7946710306370903,0.675095546281062,points,0.2609997242627675,15.0,2.5508749674296194,21.285900808768915
1.508593022954142,"90,60,30, 15",71.0,False,const71,,2.7364639221884364,0.7556025338164133,jacobian,0.014575158389194785,,3.222273916278211,22.09292152667551
2.0291339926065715,15,40.93328581559948,True,map,15.9,1.1585769020430396,0.25855720278142447,points,0.23144949098921214,15.0,2.936587451809162,21.3523150273819
0.7253606360314249,"90,60,30, 15",40.93328581559948,True,map,15.9,1.3014580168617422,0.4450834553382912,jacobian,0.08660567139204688,15.0,2.867596552392424,20.36791309290924
0.4914592284723312,15,40.93328581559948,True,map,15.9,2.999605644273135,1.0406266772777462,points,0.2918193457563543,15.0,2.3539856179343013,20.723426248130643
3.336476640935782,"180,90,30,15",40.93328581559948,True,map,15.9,2.090499792104059,0.4808113959667407,points,0.2184708902743943,15.0,2.3837270113087805,21.01525221972868
0.9260667937186473,"45,30,15",71.0,False,const71,,1.687634550347168,0.20440212201853833,jacobian,0.02559670285989054,,3.8812802390873413,25.12906097561364
3.8647935371190645,"30, 15",15.0,False,const15,,2.11194162936907,1.1569681301801982,jacobian,0.17753870611196126,,3.2163173139776124,17.63153280311887
3.9893639848083002,"30, 15",15.0,False,const15,,2.200097341778459,1.1784888668691642,jacobian,0.17170962358674072,,2.8840810715364547,17.499707606972667
2.7665445022149155,"30, 15",15.0,False,const15,,2.398347726130969,0.9291649568531589,jacobian,0.15939151970307147,,3.0741337677253635,17.568060634065024
3.775474805895546,"60,30,15",15.0,False,const15,,2.1848461355370388,1.1853958126377093,jacobian,0.19320136282079242,,2.6970170976633385,19.202481898631202
3.012305705772689,"30, 15",20.0,False,const20,,2.4390420835888835,0.8759304298989327,jacobian,0.1312650321151767,,2.6706032725971456,18.437246092536686
2.3397736822626465,"180,90,30,15",15.0,False,const15,,1.8512843040413725,1.0224381825456783,jacobian,0.2913124305393307,,2.7078140474912824,18.70651217254521
3.49137043756684,"60,30,15",15.0,False,const15,,0.8950923987214605,0.8241746464480738,jacobian,0.24212052846605742,,2.7056054217836354,22.879917197169807
2.308353585456901,"45,30,15",20.0,False,const20,,2.4952015107469565,1.0216870845069874,jacobian,0.1373263394047301,,2.7655320884229653,19.206244893597432
1.7494867150072277,"30, 15",40.93328581559948,True,map,15.9,1.9255084195096344,1.195902800069376,points,0.20384606107910824,15.0,0.7718301315965764,5.901838395272893
1.6348561785660216,"30, 15",40.93328581559948,True,map,15.9,1.1667168913571966,0.5430989074885489,points,0.2629328047263285,15.0,2.99704200710896,20.59626507916417
1.9870740847938013,"45,30,15",40.93328581559948,True,map,15.9,1.5531120371000433,1.0657433726406056,points,0.2085999321657599,15.0,2.5370055857844447,21.818104819955757
0.20096772713852973,"30, 15",40.93328581559948,True,map,15.9,1.9267201217572176,1.1982825046574959,points,0.17088292061877303,15.0,2.431936725471049,19.936112514967874
2.490043900431337,"30, 15",15.0,False,const15,,2.2772331551931964,1.1034626169022868,points,0.19601730570319564,,3.4420590277460748,19.261931913944153
1.376731675721396,"30, 15",40.93328581559948,True,map,15.9,1.5414231371916935,0.9517517416872732,points,0.26130313533241856,15.0,2.582775606472625,19.945155624632978
1.8557778362079023,"30, 15",40.93328581559948,True,map,15.9,1.931827566349035,1.1099980129695728,jacobian,0.12444967579683437,15.0,2.3282707237612565,20.939584912180326
3.1926927255035586,"180,90,30,15",15.0,False,const15,,2.6836949323404093,0.9671712739858909,jacobian,0.23447259414475907,,3.3558074966909857,22.85329020049671
1.182476993460842,15,71.0,False,const71,,1.3635187609556256,0.8353824800073067,points,0.18758812980349365,,4.4562828251374755,24.192694524902834
2.6115891121739656,"60,30,15",20.0,False,const20,,2.269576244894588,1.127185750300154,jacobian,0.29919671778542023,,3.175641802004687,20.660890013286657
3.9823465388976627,"45,30,15",40.93328581559948,True,map,15.9,0.9986176657458354,0.6595950509611258,points,0.1547848773915005,15.0,2.6392034772204007,22.15434051026198
3.5428915470255626,"90,60,30, 15",71.0,False,const71,,1.6588112994122906,0.7366947786029664,jacobian,0.10822628287965957,,3.8221770303624716,22.869197992501807
1.7423146050839673,"30, 15",15.0,False,const15,,2.038631974553794,1.1964593666464785,jacobian,0.21252311030117904,,2.799235717822386,17.937309068118406
2.8606733993530087,"30, 15",15.0,False,const15,,2.5035731620532102,0.9376498168582658,jacobian,0.15369517583350842,,2.8285219007923033,17.602569384623163
2.2984051763314963,"30, 15",15.0,False,const15,,2.631653291137067,1.0716951965466495,jacobian,0.1517185669211953,,3.264810575316746,19.506463898554287
2.961113568048128,"30, 15",15.0,False,const15,,2.9916255461858925,0.987952147589136,jacobian,0.10708951200219821,,2.3256854165747516,19.061463171997136
2.660127972960482,"45,30,15",15.0,False,const15,,2.56661884708386,1.1253607762416702,jacobian,0.0767693586824667,,2.852117549648466,19.930584494634157
2.0989420590920638,"30, 15",40.93328581559948,True,map,15.9,2.8201738896410076,0.8915054406502957,jacobian,0.04686520396299018,15.0,2.4716288225490897,22.76380008994052
3.170471362806804,"90,60,30, 15",20.0,False,const20,,2.2926254540575397,1.0779864012631555,jacobian,0.2485057969398988,,3.1178598846010748,21.974869457780645
3.6678582894215497,15,40.93328581559948,True,map,15.9,1.4261210184366169,1.1451321650946709,points,0.2775935848125224,15.0,2.475779904666895,21.350608216442804
1.3307776712005865,"45,30,15",71.0,False,const71,,2.82298291926084,0.7571090112579892,jacobian,0.14229202352819906,,3.8007497490984754,23.603194343756353
2.9316998513660595,"30, 15",40.93328581559948,True,map,15.9,1.73012365826472,0.5742809262345467,points,0.1706886620423429,15.0,2.6267473308285654,20.3812807635199
1.8532694765509397,"180,90,30,15",15.0,False,const15,,1.8548694390336684,1.0129534919138874,jacobian,0.22007301603691176,,4.278168683873868,20.179565420975752
2.772039863088823,"30, 15",15.0,False,const15,,2.4032371523207763,0.9314711716440476,jacobian,0.15985097932747477,,3.3732953462768545,20.702992578648853
2.182696232838619,"30, 15",15.0,False,const15,,2.3810321861663666,0.8075340452205406,jacobian,0.18116580297484225,,3.2553733577586486,18.669197093341076
2.481076889487448,"30, 15",15.0,False,const15,,2.1805497586042795,0.9102269116078892,jacobian,0.20216149742909434,,2.9413684898927652,18.035590173335898
3.146406287746697,"30, 15",15.0,False,const15,,2.5604692545802057,1.1590604738973806,jacobian,0.1170400471572249,,3.2617419724510825,18.160209244961504
2.8321028556285075,"90,60,30, 15",15.0,False,const15,,0.6615146912181473,0.29228310986360384,jacobian,0.17008819685732096,,3.0403320238172244,22.422849686411016
3.3736382495710324,"60,30,15",40.93328581559948,True,map,15.9,2.063472741390947,0.39385895655608066,jacobian,0.16155254299080518,15.0,2.3763037604125445,20.40300852431739
2.4798151763145166,"45,30,15",15.0,False,const15,,1.95212682351494,0.6131817576062384,jacobian,0.08936730402787489,,2.730471269087251,21.514279217544047
0.7889432969032794,15,20.0,False,const20,,2.183058352171148,0.7065240230205811,points,0.14148411257446045,,2.698682534149583,18.94489597794933
1.5575594167182842,"30, 15",40.93328581559948,True,map,15.9,2.3684319860431264,1.0415806991868675,jacobian,0.22326370545190666,15.0,4.1594385588204625,20.27301533659654
